pipeline,accuracy,f1_macro,auc_roc,pr_auc,precision,recall,mcc,brier,acc_tuned,f1_tuned
vit-lora,0.978183,0.978183,0.997244,0.996942,0.978406,0.977915,0.956366,0.017229,0.978099,0.978099
patch-ensemble,0.968068,0.968056,0.996283,0.995982,0.986268,0.949306,0.936792,0.022921,0.97392,0.973919
cnn-finetune,0.955948,0.955939,0.993045,0.99357,0.943234,0.970219,0.91227,0.035693,0.958539,0.958539
clip-probe,0.959208,0.959207,0.993024,0.993196,0.961028,0.957169,0.918422,0.0318,0.957787,0.95778
freqcross,0.900276,0.900143,0.96512,0.96665,0.930991,0.864481,0.802589,0.074929,0.90479,0.904788
cnn-scratch,0.901112,0.901085,0.964753,0.966419,0.91399,0.885394,0.802611,0.073501,0.901446,0.901428
two-stream,0.897685,0.897681,0.960944,0.96043,0.901911,0.892254,0.795413,0.086203,0.898186,0.898186
srm-noise,0.882387,0.882375,0.951785,0.948596,0.889666,0.872846,0.764908,0.085489,0.880966,0.880936
dire-recon,0.873,0.872992,0.939858,0.93076,0.879065,0.865,0.746096,0.105783,0.8645,0.86414
cnn-residual,0.786843,0.786406,0.867183,0.856252,0.762525,0.832692,0.576155,0.150522,0.788347,0.788267
